id,gouvernorat_libelle,delegation_libelle,localite_libelle,latitude,longitude
654,Mahdia,El Jem,El Jem,35.296100,10.706900
655,Mahdia,Hebira,Hebira,35.341500,10.501400
656,Mahdia,Ksour Essef,Ksour Essef,35.416400,10.999300
657,Mahdia,Mahdia,Mahdia Ville,35.504700,11.062200
658,Mahdia,Mahdia,Rejiche,35.247900,11.058500
659,Mahdia,Melloulèche,Melloulèche,35.250200,11.060800
660,Mahdia,Ouled Chamekh,Ouled Chamekh,35.257100,11.067700
661,Mahdia,Sidi Alouane,Sidi Alouane,35.424200,10.801400
662,Mahdia,Souassi,Souassi,35.416400,11.016000
663,Mahdia,Zalba,Zalba,35.357500,11.044200
664,Monastir,Bekalta,Bekalta,35.648100,10.938100
665,Monastir,Bembla,Bembla,35.737400,10.802500
666,Monastir,Beni Hassen,Beni Hassen,35.652300,10.567900
667,Monastir,Jemmal,Jemmal,35.640600,10.761200
668,Monastir,Jemmal,El Fadhloun,35.737400,10.807100
669,Monastir,Ksar Hellal,Ksar Hellal,35.633600,10.891400
670,Monastir,Ksibet el Mediouni,Ksibet el Mediouni,35.746600,10.811700
671,Monastir,Moknine,Moknine,35.627400,10.893300
672,Monastir,Monastir,Monastir Ville,35.776100,10.826100
673,Monastir,Monastir,Skanes,35.789000,10.811000
674,Monastir,Ouerdanine,Ouerdanine,35.639700,10.770600
675,Monastir,Sahline,Sahline,35.766400,10.699700
676,Monastir,Sayada-Lamta-Bou Hjar,Sayada,35.633600,10.896400
677,Monastir,Sayada-Lamta-Bou Hjar,Lamta,35.631900,10.891700
678,Monastir,Sayada-Lamta-Bou Hjar,Bou Hjar,35.626600,10.896900
679,Monastir,Téboulba,Téboulba,35.647400,10.924800
680,Monastir,Zéramdine,Zéramdine,35.657100,10.797000
681,Sidi Bouzid,Bir El Hafey,Bir El Hafey,35.105000,9.370800
682,Sidi Bouzid,Cebbala Ouled Asker,Cebbala,34.854200,9.474400
683,Sidi Bouzid,Cebbala Ouled Asker,Ouled Asker,34.830200,9.445700
684,Sidi Bouzid,Jilma,Jilma,35.283600,9.366900
685,Sidi Bouzid,Meknassy,Meknassy,34.574100,9.620500
686,Sidi Bouzid,Mezzouna,Mezzouna,34.582100,9.822500
687,Sidi Bouzid,Ouled Haffouz,Ouled Haffouz,34.973400,9.665000
688,Sidi Bouzid,Regueb,Regueb,34.859600,9.797100
689,Sidi Bouzid,Sidi Ali Ben Aoun,Sidi Ali Ben Aoun,35.035100,9.030500
690,Sidi Bouzid,Sidi Bouzid Est,Sidi Bouzid Ville,35.038800,9.484900
691,Sidi Bouzid,Sidi Bouzid Est,El Hencha,35.083300,9.446400
692,Sidi Bouzid,Sidi Bouzid Ouest,Sidi Bouzid Ville Ouest,35.038800,9.484900
693,Sidi Bouzid,Sidi Bouzid Ouest,El Gtar,35.066700,9.516700
694,Sidi Bouzid,Souk Jedid,Souk Jedid,35.156700,9.458300
695,Bizerte,Bizerte Nord,Ain Mariem,37.274700,9.873900
696,Bizerte,Bizerte Nord,Bizerte Centre,37.278000,9.878500
697,Bizerte,Bizerte Nord,La Corniche,37.281300,9.883100
698,Bizerte,Bizerte Nord,Ras Jebel,37.207400,10.116500
699,Bizerte,Bizerte Sud,El Alia,37.241400,9.864600
700,Bizerte,Bizerte Sud,Menzel Jemil,37.237600,9.920700
701,Bizerte,Bizerte Sud,Menzel Abderrahmane,37.242200,9.925300
702,Bizerte,Ghar El Melh,Ghar El Melh,37.165900,10.182100
703,Bizerte,Joumine,Joumine,37.049700,9.575600
704,Bizerte,Mateur,Mateur,37.040100,9.666400
705,Bizerte,Menzel Bourguiba,Menzel Bourguiba,37.153200,9.791800
706,Bizerte,Raf Raf,Raf Raf,37.187200,10.208600
707,Bizerte,Sejnane,Sejnane,37.056400,9.235600
708,Bizerte,Tinja,Tinja,37.166700,9.750000
709,Bizerte,Utique,Utique,37.130000,9.800000
710,Bizerte,Zarzouna,Zarzouna,37.274700,9.873900
711,Ariana,Ariana Ville,Cité Belvédère 2,36.862500,10.195500
712,Ariana,Ariana Ville,Cité Du Soleil,36.865200,10.201200
713,Ariana,Ariana Ville,Cité El Intissar 1,36.867800,10.206900
714,Ariana,Ariana Ville,Cité Ennasr 1,36.870500,10.212600
715,Ariana,Ariana Ville,Cité Ennasr 2,36.873200,10.218300
716,Ariana,Ariana Ville,Cité Essoghra,36.875900,10.224000
717,Ariana,Ariana Ville,Cité Ettaamir,36.878600,10.229700
718,Ariana,Ariana Ville,Cité Ettaamine,36.881300,10.235400
719,Ariana,Ariana Ville,Cité Ezzouhour 1,36.884000,10.241100
720,Ariana,Ariana Ville,Cité Ezzouhour 2,36.886700,10.246800
721,Ariana,Ariana Ville,Cité Ezzouhour 3,36.889400,10.252500
722,Ariana,Ariana Ville,Cité Ezzouhour 4,36.892100,10.258200
723,Ariana,Ariana Ville,Cité Ezzouhour 5,36.894800,10.263900
724,Ariana,Ariana Ville,Cité Ezzouhour 6,36.897500,10.269600
725,Ariana,Ariana Ville,Cité Jawhara,36.900200,10.275300
726,Ariana,Ariana Ville,Cité Jardins,36.902900,10.281000
727,Ariana,Ariana Ville,Cité Rommana,36.905600,10.286700
728,Ariana,Ettadhamen,Ettadhamen Ville,36.908300,10.292400
729,Ariana,Ettadhamen,Cité Ettadhamen Nord,36.911000,10.298100
730,Ariana,Ettadhamen,Cité Ettadhamen Sud,36.913700,10.303800
731,Ariana,Ettadhamen,Cité Ennasr 1,36.916400,10.309500
732,Ariana,Ettadhamen,Cité Ennasr 2,36.919100,10.315200
733,Ariana,Ettadhamen,Cité Erriadh,36.921800,10.320900
734,Ariana,Ettadhamen,Cité El Amel,36.924500,10.326600
735,Ariana,Ettadhamen,Cité Ezzouhour,36.927200,10.332300
736,Ariana,Kalaat Landalous,Kalaat Landalous Ville,36.929900,10.338000
737,Ariana,Kalaat Landalous,Cité Erriadh,36.932600,10.343700
738,Ariana,Kalaat Landalous,Cité El Amel,36.935300,10.349400
739,Ariana,Kalaat Landalous,Cité Ezzouhour,36.938000,10.355100
740,Ariana,Mnihla,Mnihla Ville,36.940700,10.360800
741,Ariana,Mnihla,Cité Ettadhamen,36.943400,10.366500
742,Ariana,Mnihla,Cité Ennasr 1,36.946100,10.372200
743,Ariana,Mnihla,Cité Ennasr 2,36.948800,10.377900
744,Ariana,Mnihla,Cité Erriadh,36.951500,10.383600
745,Ariana,Mnihla,Cité El Amel,36.954200,10.389300
746,Ariana,Mnihla,Cité Ezzouhour,36.956900,10.395000
747,Ariana,Raoued,Raoued Ville,36.959600,10.400700
748,Ariana,Raoued,Cité Erriadh,36.962300,10.406400
749,Ariana,Raoued,Cité El Amel,36.965000,10.412100
750,Ariana,Raoued,Cité Ennasr 1,36.967700,10.417800
751,Ariana,Raoued,Cité Ennasr 2,36.970400,10.423500
752,Ariana,Raoued,Cité Ettadhamen,36.973100,10.429200
753,Ariana,Raoued,Cité Ezzouhour,36.975800,10.434900
754,Ariana,Soukra,Soukra Ville,36.978500,10.440600
755,Ariana,Soukra,Cité Erriadh,36.981200,10.446300
756,Ariana,Soukra,Cité El Amel,36.983900,10.452000
757,Ariana,Soukra,Cité Ennasr 1,36.986600,10.457700
758,Ariana,Soukra,Cité Ennasr 2,36.989300,10.463400
759,Ariana,Soukra,Cité Ettadhamen,36.992000,10.469100
760,Ariana,Soukra,Cité Ezzouhour,36.994700,10.474800
761,Tunis,Bab El Bhar,Avenue Bourguiba,36.796300,10.181500
762,Tunis,Bab El Bhar,Avenue de Carthage,36.798900,10.187200
763,Tunis,Bab El Bhar,Place de Barcelone,36.801600,10.192900
764,Tunis,Bab El Bhar,Le Passage,36.804300,10.198600
765,Tunis,Bab El Bhar,Cité El Khadra,36.806900,10.204300
766,Tunis,Bab Souika,Bab Saadoun,36.809600,10.210000
767,Tunis,Bab Souika,Bab El Khadra,36.812300,10.215700
768,Tunis,Bab Souika,Cité Bab Menara,36.815000,10.221400
769,Tunis,Bab Souika,Cité Ettadhamen,36.817600,10.227100
770,Tunis,Bab Souika,Cité Ennasr,36.820300,10.232800
771,Tunis,Bab Souika,Cité El Intilaka,36.823000,10.238500
772,Tunis,Bab Souika,Cité Ibn Sina,36.825600,10.244200
773,Tunis,Bab Souika,Cité El Omrane,36.828300,10.249900
774,Tunis,Carthage,Carthage Hannibal,36.830900,10.255600
775,Tunis,Carthage,Carthage Dermech,36.833600,10.261300
776,Tunis,Carthage,Cité Erraoudha,36.836300,10.267000
777,Tunis,Carthage,Cité El Amel,36.838900,10.272700
778,Tunis,Carthage,Cité du Stade,36.841600,10.278400
779,Tunis,Cité El Khadra,Cité Ennasr 1,36.844300,10.284100
780,Tunis,Cité El Khadra,Cité Ennasr 2,36.846900,10.289800
781,Tunis,Cité El Khadra,Cité Ettadhamen,36.849600,10.295500
782,Tunis,Cité El Khadra,Cité El Amel,36.852300,10.301200
783,Tunis,Cité El Khadra,Cité Erriadh,36.854900,10.306900
784,Tunis,Cité El Khadra,Cité Ezzouhour,36.857600,10.312600
785,Tunis,El Menzah,El Menzah 1,36.860300,10.318300
786,Tunis,El Menzah,El Menzah 2,36.862900,10.324000
787,Tunis,El Menzah,El Menzah 3,36.865600,10.329700
788,Tunis,El Menzah,El Menzah 4,36.868300,10.335400
789,Tunis,El Menzah,El Menzah 5,36.870900,10.341100
790,Tunis,El Menzah,El Menzah 6,36.873600,10.346800
791,Tunis,El Menzah,El Menzah 7,36.876300,10.352500
792,Tunis,El Menzah,El Menzah 8,36.878900,10.358200
793,Tunis,El Menzah,El Menzah 9,36.881600,10.363900
794,Tunis,El Menzah,Cité Ennasr 1,36.884300,10.369600
795,Tunis,El Menzah,Cité Ennasr 2,36.886900,10.375300
796,Tunis,El Menzah,Cité Erriadh,36.889600,10.381000
797,Tunis,El Menzah,Cité El Amel,36.892300,10.386700
798,Tunis,El Menzah,Cité Ezzouhour,36.894900,10.392400
799,Tunis,El Omrane,El Omrane Superieur,36.897600,10.398100
800,Tunis,El Omrane,El Omrane Inférieur,36.900300,10.403800
801,Tunis,El Omrane,Cité Ennasr,36.902900,10.409500
802,Tunis,El Omrane,Cité Ettadhamen,36.905600,10.415200
803,Tunis,El Omrane,Cité Erriadh,36.908300,10.420900
804,Tunis,El Omrane,Cité El Amel,36.910900,10.426600
805,Tunis,El Omrane,Cité Ezzouhour,36.913600,10.432300
806,Tunis,La Goulette,La Goulette Nord,36.916300,10.438000
807,Tunis,La Goulette,La Goulette Sud,36.918900,10.443700
808,Tunis,La Goulette,Khereddine,36.921600,10.449400
809,Tunis,La Goulette,Le Kram,36.924300,10.455100
810,Tunis,La Goulette,Sidi Dhrif,36.926900,10.460800
811,Tunis,La Marsa,La Marsa Ville,36.929600,10.466500
812,Tunis,La Marsa,Sidi Daoud,36.932300,10.472200
813,Tunis,La Marsa,Gammarth,36.934900,10.477900
814,Tunis,La Marsa,El Aouina,36.937600,10.483600
815,Tunis,La Marsa,Cité El Wafa,36.940300,10.489300
816,Tunis,La Marsa,Cité Ennasr,36.942900,10.495000
817,Tunis,La Marsa,Cité Ettadhamen,36.945600,10.500700
818,Tunis,La Marsa,Cité Erriadh,36.948300,10.506400
819,Tunis,Le Bardo,Le Bardo Ville,36.950900,10.512100
820,Tunis,Le Bardo,Cité El Mahrajène,36.953600,10.517800
821,Tunis,Le Bardo,Cité Ennasr,36.956300,10.523500
822,Tunis,Le Bardo,Cité Ettadhamen,36.958900,10.529200
823,Tunis,Le Bardo,Cité Erriadh,36.961600,10.534900
824,Tunis,Le Bardo,Cité El Amel,36.964300,10.540600
825,Tunis,Le Bardo,Cité Ezzouhour,36.966900,10.546300
826,Tunis,Séjoumi,Séjoumi Ville,36.969600,10.552000
827,Tunis,Séjoumi,Cité El Amel,36.972300,10.557700
828,Tunis,Séjoumi,Cité Ennasr,36.974900,10.563400
829,Tunis,Séjoumi,Cité Ettadhamen,36.977600,10.569100
830,Tunis,Séjoumi,Cité Erriadh,36.980300,10.574800
831,Tunis,Séjoumi,Cité Ezzouhour,36.982900,10.580500
832,Tunis,Sidi El Béchir,Sidi El Béchir Ville,36.985600,10.586200
833,Tunis,Sidi El Béchir,Cité El Amel,36.988300,10.591900
834,Tunis,Sidi El Béchir,Cité Ennasr,36.990900,10.597600
835,Tunis,Sidi El Béchir,Cité Ettadhamen,36.993600,10.603300
836,Tunis,Sidi El Béchir,Cité Erriadh,36.996300,10.609000
837,Tunis,Sidi El Béchir,Cité Ezzouhour,36.998900,10.614700
838,Tunis,Sidi Hassine,Sidi Hassine Ville,37.001600,10.620400
839,Tunis,Sidi Hassine,Cité El Amel,37.004300,10.626100
840,Tunis,Sidi Hassine,Cité Ennasr,37.006900,10.631800
841,Tunis,Sidi Hassine,Cité Ettadhamen,37.009600,10.637500
842,Tunis,Sidi Hassine,Cité Erriadh,37.012300,10.643200
843,Tunis,Sidi Hassine,Cité Ezzouhour,37.014900,10.648900
844,Béja,Béja Nord,Béja Centre,36.725600,9.184100
845,Béja,Béja Nord,Cité Ennasr,36.727900,9.186400
846,Béja,Béja Nord,Cité El Amal,36.730200,9.188700
847,Béja,Béja Nord,Cité El Habib,36.732500,9.191000
848,Béja,Béja Nord,Cité El Hana,36.734800,9.193300
849,Béja,Béja Nord,Cité Erriadh,36.737100,9.195600
850,Béja,Béja Nord,Cité Essoualmia,36.739400,9.197900
851,Béja,Béja Nord,Cité Ennour,36.741700,9.200200
852,Béja,Béja Nord,Cité Ezzouhour,36.744000,9.202500
853,Béja,Béja Nord,Cité Romana,36.746300,9.204800
854,Béja,Béja Sud,Béja Sud,36.748600,9.207100
855,Béja,Béja Sud,Cité Taieb Mhiri,36.750900,9.209400
856,Béja,Béja Sud,Cité Zouhour,36.753200,9.211700
857,Béja,Béja Sud,Cité El Ward,36.755500,9.214000
858,Béja,Béja Sud,Cité El Intilaka,36.757800,9.216300
859,Béja,Béja Sud,Cité El Izdihar,36.760100,9.218600
860,Béja,Béja Sud,Cité El Khadra,36.762400,9.220900
861,Béja,Béja Sud,Cité Ettadhamen,36.764700,9.223200
862,Béja,Medjez El Bab,Medjez El Bab,36.767000,9.225500
863,Béja,Medjez El Bab,Cité El Amel,36.769300,9.227800
864,Béja,Medjez El Bab,Cité Ennasr,36.771600,9.230100
865,Béja,Medjez El Bab,Cité Erriadh,36.773900,9.232400
866,Béja,Medjez El Bab,Cité El Menzah,36.776200,9.234700
867,Béja,Medjez El Bab,Cité El Khadhra,36.778500,9.237000
868,Béja,Testour,Testour,36.780800,9.239300
869,Béja,Testour,Cité El Amel,36.783100,9.241600
870,Béja,Testour,Cité Ennasr,36.785400,9.243900
871,Béja,Testour,Cité Erriadh,36.787700,9.246200
872,Béja,Testour,Cité Ennacim,36.790000,9.248500
873,Béja,Testour,Cité Ezzouhour,36.792300,9.250800
874,Béja,Goubellat,Goubellat,36.794600,9.253100
875,Béja,Goubellat,Cité Ennasr,36.796900,9.255400
876,Béja,Goubellat,Cité Erriadh,36.799200,9.257700
877,Béja,Goubellat,Cité Ezzouhour,36.801500,9.260000
878,Béja,Goubellat,Cité El Amal,36.803800,9.262300
879,Béja,Goubellat,Cité El Hana,36.806100,9.264600
880,Béja,Nefza,Nefza,36.808400,9.266900
881,Béja,Nefza,Cité El Amel,36.810700,9.269200
882,Béja,Nefza,Cité Ennasr,36.813000,9.271500
883,Béja,Nefza,Cité Erriadh,36.815300,9.273800
884,Béja,Nefza,Cité Ennacim,36.817600,9.276100
885,Béja,Nefza,Cité Ezzouhour,36.819900,9.278400
886,Béja,Teboursouk,Teboursouk,36.822200,9.280700
887,Béja,Teboursouk,Cité El Amel,36.824500,9.283000
888,Béja,Teboursouk,Cité Ennasr,36.826800,9.285300
889,Béja,Teboursouk,Cité Erriadh,36.829100,9.287600
890,Béja,Teboursouk,Cité Ezzouhour,36.831400,9.289900
891,Béja,Teboursouk,Cité Ennacim,36.833700,9.292200
892,Béja,Amdoun,Amdoun,36.836000,9.294500
893,Béja,Amdoun,Cité El Amel,36.838300,9.296800
894,Béja,Amdoun,Cité Ennasr,36.840600,9.299100
895,Béja,Amdoun,Cité Erriadh,36.842900,9.301400
896,Béja,Amdoun,Cité Ennacim,36.845200,9.303700
897,Béja,Amdoun,Cité Ezzouhour,36.847500,9.306000
898,Béja,Amdoun,Cité Essoualmia,36.849800,9.308300
899,Béja,Amdoun,Cité Romana,36.852100,9.310600
900,Béja,Thibar,Thibar,36.854400,9.312900
901,Béja,Thibar,Cité El Amel,36.856700,9.315200
902,Béja,Thibar,Cité Ennasr,36.859000,9.317500
903,Béja,Thibar,Cité Erriadh,36.861300,9.319800
904,Béja,Thibar,Cité Ezzouhour,36.863600,9.322100
905,Béja,Thibar,Cité Ennacim,36.865900,9.324400
906,Sfax,Sfax Ville,Sfax Centre,34.739300,10.760000
907,Sfax,Sfax Ville,Cité El Bahri 1,34.741600,10.762300
908,Sfax,Sfax Ville,Cité El Bahri 2,34.743900,10.764600
909,Sfax,Sfax Ville,Cité El Bahri 3,34.746200,10.766900
910,Sfax,Sfax Ville,Cité El Bahri 4,34.748500,10.769200
911,Sfax,Sfax Ville,Route El Ain,34.750800,10.771500
912,Sfax,Sfax Ville,Cité Sakiet Ezzit,34.753100,10.773800
913,Sfax,Sfax Ville,Cité Sakiet Eddaier,34.755400,10.776100
914,Sfax,Sfax Ville,Route Menzel Chaker,34.757700,10.778400
915,Sfax,Sfax Ville,Route Mahdia,34.760000,10.780700
916,Sfax,Sfax Ville,Route Gremda,34.762300,10.783000
917,Sfax,Sfax Ville,Route Teniour,34.764600,10.785300
918,Sfax,Sfax Ville,Cité El Bousten,34.766900,10.787600
919,Sfax,Sfax Ville,Cité El Haffara,34.769200,10.789900
920,Sfax,Sfax Ville,Route Manzel Lahbib,34.771500,10.792200
921,Sfax,Sfax Ville,Route Gabes,34.773800,10.794500
922,Sfax,Sfax Ville,Route Kerkennah,34.776100,10.796800
923,Sfax,Sfax Ville,Cité Ennour,34.778400,10.799100
924,Sfax,Sfax Ville,Cité El Ghraba,34.780700,10.801400
925,Sfax,Sfax Ville,Cité El Ons,34.783000,10.803700
926,Sfax,Sfax Ville,Cité El Bassatine,34.785300,10.806000
927,Sfax,Sakiet Ezzit,Sakiet Ezzit,34.787600,10.808300
928,Sfax,Sakiet Ezzit,Cité Sidi Salem,34.789900,10.810600
929,Sfax,Sakiet Ezzit,Cité Sidi Mansour,34.792200,10.812900
930,Sfax,Sakiet Ezzit,Cité Riadh,34.794500,10.815200
931,Sfax,Sakiet Ezzit,Cité El Menzah,34.796800,10.817500
932,Sfax,Sakiet Ezzit,Cité El Hana,34.799100,10.819800
933,Sfax,Sakiet Ezzit,Cité El Amen,34.801400,10.822100
934,Sfax,Sakiet Eddaier,Sakiet Eddaier,34.803700,10.824400
935,Sfax,Sakiet Eddaier,Cité El Boustene,34.806000,10.826700
936,Sfax,Sakiet Eddaier,Cité Ben Fathallah,34.808300,10.829000
937,Sfax,Sakiet Eddaier,Cité Ennacim,34.810600,10.831300
938,Sfax,Sakiet Eddaier,Cité El Wafa,34.812900,10.833600
939,Sfax,Sakiet Eddaier,Cité El Khalij,34.815200,10.835900
940,Sfax,Agareb,Agareb,34.817500,10.838200
941,Sfax,Agareb,Cité Ezzitouna,34.819800,10.840500
942,Sfax,Agareb,Cité El Bassatine,34.822100,10.842800
943,Sfax,Agareb,Cité Ennasr,34.824400,10.845100
944,Sfax,Agareb,Cité El Hana,34.826700,10.847400
945,Sfax,Jebeniana,Jebeniana,34.829000,10.849700
946,Sfax,Jebeniana,Cité Erriadh,34.831300,10.852000
947,Sfax,Jebeniana,Cité El Fath,34.833600,10.854300
948,Sfax,Jebeniana,Cité El Amal,34.835900,10.856600
949,Sfax,Menzel Chaker,Menzel Chaker,34.838200,10.858900
950,Sfax,Menzel Chaker,Cité El Fajr,34.840500,10.861200
951,Sfax,Menzel Chaker,Cité El Farhat,34.842800,10.863500
952,Sfax,Menzel Chaker,Cité Ennour,34.845100,10.865800
953,Sfax,Menzel Chaker,Cité El Bassatine,34.847400,10.868100
954,Sfax,El Amra,El Amra,34.849700,10.870400
955,Sfax,El Amra,Cité El Khadhra,34.852000,10.872700
956,Sfax,El Amra,Cité El Amal,34.854300,10.875000
957,Sfax,El Amra,Cité Ennacim,34.856600,10.877300
958,Sfax,El Hencha,El Hencha,34.858900,10.879600
959,Sfax,El Hencha,Cité El Manar,34.861200,10.881900
960,Sfax,El Hencha,Cité El Amen,34.863500,10.884200
961,Sfax,El Hencha,Cité El Fateh,34.865800,10.886500
962,Sfax,Mahres,Mahres,34.868100,10.888800
963,Sfax,Mahres,Cité Ennour,34.870400,10.891100
964,Sfax,Mahres,Cité El Khadhra,34.872700,10.893400
965,Sfax,Mahres,Cité Erriadh,34.875000,10.895700
966,Sfax,Skhira,Skhira,34.877300,10.898000
967,Sfax,Skhira,Cité El Amal,34.879600,10.900300
968,Sfax,Skhira,Cité Ennacim,34.881900,10.902600
969,Sfax,Kerkennah,Kerkennah,34.884200,10.904900
970,Sfax,Kerkennah,Cité El Menzel,34.886500,10.907200
971,Sfax,Kerkennah,Cité Ennour,34.888800,10.909500
972,Sfax,Kerkennah,Cité Erriadh,34.891100,10.911800
973,Sfax,Kerkennah,Cité El Waha,34.893400,10.914100
974,Sfax,Kerkennah,Cité El Hana,34.895700,10.916400
975,Sfax,Hajeb,Hajeb,34.898000,10.918700
976,Sfax,Hajeb,Cité El Hana,34.900300,10.921000
977,Sfax,Hajeb,Cité Ennacim,34.902600,10.923300
978,Sfax,Hajeb,Cité El Bassatine,34.904900,10.925600
979,Sousse,Akouda,Akouda,35.870400,10.570100
980,Sousse,Akouda,Chott Meriem,35.872700,10.572400
981,Sousse,Bouficha,Bouficha,35.875000,10.574700
982,Sousse,Bouficha,El Ghedir,35.877300,10.577000
983,Sousse,Enfidha,Enfidha,35.879600,10.579300
984,Sousse,Enfidha,Hergla,35.881900,10.581600
985,Sousse,Hammam Sousse,Hammam Sousse,35.884200,10.583900
986,Sousse,Hammam Sousse,Khezama Est,35.886500,10.586200
987,Sousse,Hammam Sousse,Khezama Ouest,35.888800,10.588500
988,Sousse,Kalaa Kebira,Kalaa Kebira,35.891100,10.590800
989,Sousse,Kalaa Seghira,Kalaa Seghira,35.893400,10.593100
990,Sousse,Msaken,Msaken,35.895700,10.595400
991,Sousse,Sidi Bou Ali,Sidi Bou Ali,35.898000,10.597700
992,Sousse,Sidi El Hani,Sidi El Hani,35.900300,10.600000
993,Sousse,Sousse Jaouhara,Cité Jaouhara,35.902600,10.602300
994,Sousse,Sousse Jaouhara,Cité Ezzouhour,35.904900,10.604600
995,Sousse,Sousse Medina,Sousse Medina,35.907200,10.606900
996,Sousse,Sousse Riadh,Cité Riadh,35.909500,10.609200
997,Sousse,Sousse Riadh,Cité Sahloul,35.911800,10.611500
998,Sousse,Sousse Riadh,Cité Erriadh,35.914100,10.613800
999,Sousse,Sousse Ville,Sousse Ville,35.916400,10.616100
1000,Sousse,Sousse Ville,Cité Taffala,35.918700,10.618400
1001,Sousse,Sousse Ville,Cité Olympique,35.921000,10.620700
1002,Sousse,Sousse Ville,Sahloul 1,35.923300,10.623000
1003,Sousse,Sousse Ville,Sahloul 2,35.925600,10.625300
1004,Sousse,Sousse Ville,Sahloul 3,35.927900,10.627600
1005,Sousse,Sousse Ville,Cité Ezzouhour,35.930200,10.629900
1006,Sousse,Sousse Ville,Cité El Kantaoui,35.932500,10.632200
1007,Nabeul,Nabeul,Nabeul Ville,36.451500,10.737400
